id,avtor,naslov,link,ocena,glasovi
3157,A. Meredith Walters,"Find You in the Dark (Find You in the Dark, #1)",/book/show/16081754-find-you-in-the-dark,3.96,26468
97,A.A. Milne,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",/book/show/99107.Winnie_the_Pooh,4.34,271475
1766,A.A. Milne,"The House at Pooh Corner (Winnie-the-Pooh, #2)",/book/show/776407.The_House_at_Pooh_Corner,4.36,81684
2375,A.A. Milne,The House at Pooh Corner and Now We Are Six,/book/show/1370123.The_House_at_Pooh_Corner_and_Now_We_Are_Six,4.27,644
1915,A.D. Zoltan,"Conjunction (The Wise Society, #1)",/book/show/43460271-conjunction,4.47,57
2306,A.F. Knott,Ramonst,/book/show/33125772-ramonst,4.5,571
1619,A.G. Howard,"Splintered (Splintered, #1)",/book/show/12558285-splintered,3.92,52508
2120,A.J. Finn,The Woman in the Window,/book/show/40389527-the-woman-in-the-window,3.94,457995
3134,A.P.J. Abdul Kalam,Wings of Fire: An Autobiography,/book/show/634583.Wings_of_Fire,4.24,40502
642,A.S. Byatt,Possession,/book/show/41219.Possession,3.87,73225
3506,A.S. King,Please Ignore Vera Dietz,/book/show/6665671-please-ignore-vera-dietz,3.87,27435
3091,Aaron-Michael Hall,Kurintor Nyusi: Diverse Epic Fantasy,/book/show/39282719-kurintor-nyusi,4.39,424
1073,Abbi Glines,"Fallen Too Far (Rosemary Beach, #1; Too Far, #1)",/book/show/16070903-fallen-too-far,4.18,160973
1638,Abbi Glines,"Existence (Existence, #1)",/book/show/13223520-existence,3.94,58265
1939,Abbi Glines,"Never Too Far (Rosemary Beach, #2; Too Far, #2)",/book/show/17029526-never-too-far,4.19,113864
2743,Abbi Glines,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",/book/show/17337562-forever-too-far,4.22,81271
2898,Abbi Glines,"Twisted Perfection (Rosemary Beach, #5; Perfection, #1)",/book/show/17333880-twisted-perfection,4.24,64357
3335,Abbi Glines,"Breathe (Sea Breeze, #1)",/book/show/11479285-breathe,3.86,79564
3545,Abbi Glines,"Just for Now (Sea Breeze, #4)",/book/show/15778138-just-for-now,4.24,44932
3577,Abbi Glines,"Ceaseless (Existence, #3)",/book/show/13573795-ceaseless,4.19,31445
3700,Abbi Glines,"Because of Low (Sea Breeze, #2)",/book/show/13146214-because-of-low,4.13,54433
