knjiga,zanr
1,dystopia
1,fantasy
1,fiction
1,sciencefiction
1,youngadult
2,childrens
2,fantasy
2,fiction
2,magic
2,youngadult
3,classics
3,fiction
3,historicalfiction
3,literature
3,school
4,classics
4,fiction
4,historicalfiction
4,literature
4,romance
5,fantasy
5,fiction
5,romance
5,vampires
5,youngadult
6,classics
6,fiction
6,historical
6,historicalfiction
6,youngadult
7,classics
7,dystopia
7,fantasy
7,fiction
7,literature
8,childrens
8,classics
8,fantasy
8,fiction
8,youngadult
9,adventure
9,classics
9,fantasy
9,fiction
9,sciencefictionfantasy
10,contemporary
10,fiction
10,realisticfiction
10,romance
10,youngadult
11,classics
11,fiction
11,historical
11,historicalfiction
11,romance
12,classics
12,fantasy
12,fiction
12,humor
12,sciencefiction
13,childrens
13,classics
13,fiction
13,picturebooks
13,poetry
14,classics
14,fiction
14,gothic
14,literature
14,romance
15,fiction
15,mystery
15,mysterythriller
15,suspense
15,thriller
16,classics
16,fantasy
16,fiction
16,horror
16,literature
17,classics
17,fiction
17,historical
17,historicalfiction
17,romance
18,classics
18,fiction
18,historicalfiction
18,literature
18,romance
19,childrens
19,classics
19,fantasy
19,fiction
19,youngadult
20,classics
20,fiction
20,france
20,historicalfiction
20,literature
21,classics
21,dystopia
21,fiction
21,school
21,sciencefiction
22,dystopia
22,fantasy
22,fiction
22,sciencefiction
22,youngadult
23,classics
23,fiction
23,literature
23,school
23,youngadult
24,classics
24,fantasy
24,fiction
24,novels
24,philosophy
25,classics
25,fiction
25,plays
25,romance
25,school
26,comingofage
26,contemporary
26,fiction
26,romance
26,youngadult
27,classics
27,fiction
27,historicalfiction
27,literature
27,school
28,classics
28,fiction
28,literature
28,russia
28,russianliterature
29,fantasy
29,paranormal
29,romance
29,urbanfantasy
29,youngadult
30,childrens
30,fantasy
30,fiction
30,magic
30,youngadult
31,adult
31,adultfiction
31,fiction
31,historical
31,historicalfiction
32,classics
32,fantasy
32,fiction
32,sciencefiction
32,youngadult
33,childrens
33,classics
33,fantasy
33,fiction
33,france
34,childrens
34,classics
34,fiction
34,historicalfiction
